ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	type	parent class
fordisc:RoundedSuperiorInferiorPosteriorAuricularIlliacExostoses	Rounded exostoses				2. Rounded exostosess: Definite raised areas of bone with rounded crests dominate the scoring area.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:SuperiorInferiorPosteriorAuricularIlliacExostosesLabel	
fordisc:PointedSuperiorInferiorPosteriorAuricularIlliacExostoses	Pointed exostoses				3. Pointed exostoses: Over one-half of the rough area where ligaments attach is dominated by sharply pointed, but short, elevations of bone.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:SuperiorInferiorPosteriorAuricularIlliacExostosesLabel	
fordisc:JaggedSuperiorInferiorPosteriorAuricularIlliacExostoses	Jagged exostoses				4. Jagged exostoses: The raised areas of bone have a jagged appearance, and round or sharp exostoses dominate the rough area where ligaments attach in life. The exostoses are tall, extending several millimeters upward from the original bone surface.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:SuperiorInferiorPosteriorAuricularIlliacExostosesLabel	
fordisc:TouchingSuperiorInferiorPosteriorAuricularIlliacExostoses	Touching exostoses				5. Touching exostoses: There is a pronounced growth of bone with a relatively flat top, usually roughly oval, where exostoses touch the sacrum.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:SuperiorInferiorPosteriorAuricularIlliacExostosesLabel	
fordisc:FusionOfSuperiorInferiorPosteriorAuricularIlliacExostoses	Fusion				6. Fusion: The ilium and sacrum are fused by exostoses in this area.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:SuperiorInferiorPosteriorAuricularIlliacExostosesLabel	
fordisc:AbsenceOfCranialStureObliterationLabel	Categorical label about absence of cranial suture obliteration				A category label that is used to describe the degree to which a cranial suture is obliterated.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 13-15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:OpenSuture	Open				1. Open: The suture is visible along its entire length, and there is a noticeable gap between the bones.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 14/15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:JuxtaposedStureMargins	Juxtaposed				2. Juxtaposed: The suture is visible along its entire length, but the suture is narrow because the bones are tightly juxtaposed. If there are any bony bridges they are rare and small, sometimes with a trace of the original suture still evident.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 14/15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:PartiallyObliteratedSuture	Partially obliterated				3. Partially obliterated: The suture is partially obscured. There is no trace of the original suture in the bony bridges.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 14/15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:PunctuatedSutureObliteration	Punctuated				4. Punctuated: Only remnants of the suture are present. They appear as scattered small points or grooves each no more than two millimeters long.r grooves each no more than two millimeters long.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 14/15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:ObliteratedSture	Obliterated				5. Obliterated: There is no evidence of a suture.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 14/15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:VentralPubicSymphysealMarginLabel	Categorical label about ventral pubic symphyseal margin morphology				A category label that is used to describe the morphology of the ventral part of the pubic symphysis.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 6/7.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:SerratedVentralPubicSymphysealMargin	Serrated				1. Serrated: Ridges and furrows typical of Sharp or Soft Deep Billowing extend uninterrupted across the ventral part of the symphyseal face, producing a serrated or jagged ventral margin.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 6.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:VentralPubicSymphysealMarginLabel	
fordisc:BevelingOnVentralPubicSymphysealMargin	Beveling				2. Beveling: Billows are flattened in the ventral demiface, a process that generally starts at the superior end. The flattening, or beveling, must extend along at least one-third of the ventral margin to be scored as present. There is generally a well-defined margin where the ventral surface of the pubis (the beveled part) meets the articular surface located immediately posterior to it.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 6.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:VentralPubicSymphysealMarginLabel	
fordisc:IncompleteRampartOnVentralPubicSymphysealMargin	Rampart incomplete				3. Rampart incomplete: The ventral rampart, following McKern and Stewart (1957), refers to a distinct outgrowth of bone that ultimately forms the ventral aspect of the symphyseal face. The rampart extends from one or both ends of the symphysis, and it often resembles a roll of well-chewed gum stuck on the ventral edge of the symphyseal face. The rampart does not extend along the entire ventral edge, and often some elements of a youthful symphyseal surface can be followed uninterrupted to the ventral edge of the symphysis. In the superior part of the ventral margin, the rampart forms on the Beveled surface. In the inferior part of the margin, remnants of the original irregular surface can often be seen dipping below a partially formed rampart, which looks as if it was lying on a shallowly furrowed surface. An incomplete rampart frequently extends inferiorly from the bony protuberance defining the cranial end of the face, sometimes forming a bony elevation that resembles a comma, with the rampart being the tail. A rampart can also extend superiorly from the inferior end of the symphysis. Bony extensions from the superior and inferior ends of the symphysis, if both are present, typically leave a gap in the middle one-third of the ventral margin. An early Rampart Incomplete stage can consist of one or more bony knobs, commonly located in the middle one-third of the ventral margin. The knobs can occur with, or without, the formation of a bony rampart extending from the superior and inferior ends of the symphysis. If the rampart is more than two-thirds complete but there is a gap in the superior part of it, you should consider the possibility that the specimen is in the Rampart Complete I or II stages. Occasionally a rampart never completely forms along the ventral margin (see below).	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 6.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:VentralPubicSymphysealMarginLabel	
fordisc:RampartWithSulcusOnVentralPubicSymphysealMargin	Rampart complete with anterior sulcus				4. Rampart complete with anterior sulcus: Here the ventral rampart is complete, but there is a shallow sulcus extending along much of the length of the ventral pubis immediately lateral to the symphysis (often more pronounced inferiorly). The groove is a residual feature related to rampart formation along the ventral margin. A reasonably flat symphyseal surface extends uninterrupted from the dorsal to ventral margins, so the face is unlike the somewhat furrowed appearance of many Rampart Incomplete specimens where there is a shallow groove just dorsal to an incomplete ventral rampart. Occasionally a gap exists in the ventral margin, usually in its superior half; the ventral 4rampart is otherwise completely formed. This stage is only occasionally found in most skeletal samples that have been examined. Typically the completed rampart is a Stage 5, Rampart Complete Without Sulcus. The only difference between Stages 4 and 5 is the presence of the anterior sulcus in Stage 4.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 6/7.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:VentralPubicSymphysealMarginLabel	
fordisc:RampartWithoutSulcusOnVentralPubicSymphysealMargin	Rampart complete without sulcus				5. Rampart complete without sulcus: Here the ventral rampart is complete, and there is no shallow sulcus as described in Rampart Complete With Anterior Sulcus. A reasonably flat symphyseal surface extends uninterrupted from its dorsal to ventral margins, so the face is unlike the somewhat furrowed appearance of many Rampart Incomplete specimens where there is also a shallow groove just dorsal to the incomplete ventral rampart. Occasionally there is a gap in the superior half of the ventral margin, but the ventral rampart is otherwise complete. These specimens should be classified as Rampart Complete. With regard to Rampart Complete With and Without Anterior Sulcus (Stages 4 and 5), most specimens are in the later Stage 5.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 7.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:VentralPubicSymphysealMarginLabel	
fordisc:RimOnVentralPubicSymphysealMargin	Rim				6. Rim: A narrow, bony rim defining the ventral margin of the symphysis, perched on top of the ventral rampart, demarcates a usually flat or 5irregular face. The rim does not have to be complete, but it must be at least 1 cm long and readily visible as a raised ridge adjacent to a slightly recessed symphyseal face. The rim can be either a continuous ridge of bone or several segments, as long as 1 cm of an elevated border is present. The rim’s crest can be low and rounded, or narrow and sharp. A ventral rim is always formed on top of a ventral rampart. Odd rim-like bone formations on gaps in a rampart or formed with no rampart at all are not scored as a ventral rim.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 7.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:VentralPubicSymphysealMarginLabel	
fordisc:BreakdownOfVentralPubicSymphysealMargin	Breakdown				7. Breakdown: The ventral margin of the symphyseal face has begun to break down, as indicated by pitting and an erosion of the Rim. The breakdown of the ventral margin must exceed 1 cm (either in one spot, or when two or more areas of erosion are combined) to be scored as present. Care must be taken to distinguish antemortem degeneration – that is, true Breakdown – from postmortem damage. The latter, of course, can render the bone unscorable if it is extensive enough.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 7.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:VentralPubicSymphysealMarginLabel	
